movie_name,Year,Age,Duration(minutes),Ratings,Gross Profit($M),Votes
Chavela,2017,15,93,7.7,0.15,"1,135"
Annihilation,2018,15,115,6.8,32.73,"351,489"
The Death of Stalin,2017,15,107,7.2,8.04,"110,335"
The Outsider,2018,15,120,6.2,2.46,"28,329"
Downsizing,2017,15,135,5.8,24.45,"119,368"
Hollow in the Land,2017,15,92,5.6,2.46,"1,961"
A Journey Through French Cinema,2016,15,201,7.7,0.04,963
Spider-Man: Homecoming,2017,15,133,7.4,334.2,"700,901"
The Party,2017,15,71,6.5,0.75,"20,249"
The Greatest Showman,2017,15,105,7.5,174.34,"301,959"
Proud Mary,2018,15,89,5,20.87,"10,450"
All the Money in the World,2017,15,132,6.8,25.11,"89,173"
Colossal,2016,15,109,6.2,3.02,"68,018"
Mayhem,2017,15,86,6.4,2.46,"24,453"
Good Time,2017,15,102,7.3,2.03,"134,778"
Irreplaceable You,2018,15,96,6.4,2.46,"10,217"
In Search of Fellini,2017,15,93,6.2,0.01,"2,827"
Lady Macbeth,2016,15,89,6.8,1.13,"26,033"
Film Stars Don't Die in Liverpool,2017,15,105,6.7,1.03,"10,463"
